Agency,SKU,YearMonth,Volume,Avg_Max_Temp,Price,Sales,Promotions,Industry_Volume,Soda_Volume,Easter Day,Good Friday,New Year,Christmas,Labor Day,Independence Day,Revolution Day Memorial,Regional Games ,FIFA U-17 World Cup,Football Gold Cup,Beer Capital,Music Fest,Avg_Population_2017,Avg_Yearly_Household_Income_2017
Agency_22,SKU_01,201301,52.272,25.8452381,1168.903668,1069.166193,99.737475,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48151,132110
Agency_22,SKU_02,201301,110.7,25.8452381,1167.0,1067.2575,99.7425,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48151,132110
Agency_58,SKU_23,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1620969,105857
Agency_48,SKU_07,201301,28.32,24.05289256,1143.50339,1143.50339,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_22,SKU_05,201301,238.5387,25.8452381,1310.176057,1203.875711,106.300346,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48151,132110
Agency_58,SKU_17,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1620969,105857
Agency_31,SKU_01,201301,126.36,28.67435897,1150.0,1121.542097,28.457903,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_48,SKU_02,201301,475.790396,24.05289256,1212.326419,1199.161654,13.164765,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_40,SKU_04,201301,1.1502,24.07901235,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,143299,137912
Agency_48,SKU_05,201301,1823.525772,24.05289256,1323.676644,1234.592021,89.084623,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_53,SKU_04,201301,2403.8541,23.89354839,1730.734055,1666.63685,64.097205,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1729177,111048
Agency_20,SKU_04,201301,1642.4217,22.21973684,1740.68464,1591.968742,148.715898,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1825752,102317
Agency_31,SKU_02,201301,23.868,28.67435897,1102.188658,1082.072627,20.116031,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_31,SKU_05,201301,14.5053,28.67435897,1468.521127,1443.306239,25.214888,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_49,SKU_23,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1880416,154532
Agency_41,SKU_01,201301,4324.104,23.89354839,1133.284019,1069.996793,63.287226,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1573238,125229
Agency_13,SKU_01,201301,6269.508,22.21973684,1205.013714,1123.530838,81.482876,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_22,SKU_04,201301,31.0554,25.8452381,1742.112676,1598.414189,143.698487,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48151,132110
Agency_13,SKU_07,201301,7.965,22.21973684,1139.335933,1139.335933,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_38,SKU_01,201301,7569.396,22.21973684,1166.489506,1117.044979,49.444527,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_41,SKU_02,201301,3471.768,23.89354839,1107.531873,1045.39289,62.138983,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1573238,125229
Agency_31,SKU_04,201301,1421.1999,28.67435897,1814.164741,1531.567322,282.597419,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_38,SKU_07,201301,65.9325,22.21973684,1102.088253,1097.002373,5.08588,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_41,SKU_05,201301,2866.2345,23.89354839,1260.007889,1189.759099,70.24879,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1573238,125229
Agency_13,SKU_02,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_01,SKU_01,201301,80.676,17.072,1141.5,1033.432731,108.067269,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_13,SKU_05,201301,1138.3785,22.21973684,1295.778368,1207.88242,87.895948,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_38,SKU_02,201301,3391.74,22.21973684,1166.021887,1123.549322,42.472565,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_20,SKU_03,201301,315.8118,22.21973684,1256.305437,1135.741035,120.564402,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1825752,102317
Agency_48,SKU_04,201301,3539.939558,24.05289256,1720.664633,1410.490406,310.174227,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_01,SKU_02,201301,78.408,17.072,1074.157799,969.1862085,104.9715905,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_53,SKU_03,201301,249.0624,23.89354839,1259.762728,1255.490812,4.271916,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1729177,111048
Agency_38,SKU_05,201301,4335.1038,22.21973684,1295.143618,1119.308736,175.834882,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_40,SKU_03,201301,4.0608,24.07901235,1228.803191,1228.803191,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,143299,137912
Agency_01,SKU_05,201301,15.975,17.072,1260.322817,1172.763381,87.559436,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_40,SKU_18,201301,1.0998,24.07901235,1152.68617,1143.817512,8.868658,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,143299,137912
Agency_22,SKU_03,201301,86.4612,25.8452381,1258.729104,1156.645866,102.083238,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48151,132110
Agency_53,SKU_24,201301,0.0,23.89354839,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1729177,111048
Agency_51,SKU_01,201301,3384.936,24.05289256,1221.67324,1153.115267,68.557973,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_31,SKU_08,201301,9.2655,28.67435897,1511.725352,1481.321349,30.404003,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_31,SKU_03,201301,527.481,28.67435897,1272.367022,1112.2395,160.127522,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,181063,102731
Agency_51,SKU_07,201301,12.8325,24.05289256,1143.50339,1143.50339,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_41,SKU_04,201301,1395.3204,23.89354839,1704.996144,1592.431345,112.564799,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1573238,125229
Agency_51,SKU_02,201301,3318.516,24.05289256,1218.473539,1127.936534,90.537005,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_13,SKU_04,201301,1812.204,22.21973684,1763.501851,1623.003226,140.498625,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_01,SKU_11,201301,7.668,17.072,1779.102113,1672.084507,107.017606,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_20,SKU_23,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1825752,102317
Agency_51,SKU_05,201301,2211.3873,24.05289256,1323.072771,1201.050507,122.022264,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
